kode;navn
1090551;Hjortsvang By, Linnerup
1090552;Linnerup By, Linnerup
1090951;Kandborg, Tørring
1090952;Plovstrup By, Tørring
1090953;Stovgård Hgd., Tørring
1090954;Tinnet Enge, Tørring
1090955;Tørring By, Tørring
1100151;Kirkholm By, As
1100152;Palsgård Hgd., As
1100251;Barritskov Hgd., Barrit
1100252;Breth By, Barrit
1100253;Over Barrit By, Barrit
1100254;Staksrode By, Barrit
1100351;Neder Gram, Bjerre
1100352;Neder Bjerre By, Bjerre
1100353;Nr. Bjerre By, Bjerre
1100354;Sdr. Bjerre By, Bjerre
1100451;Glud By, Glud
1100452;Østrup By, Glud
1100453;Sønderby By, Glud
1100454;Ø. Bisholt By, Glud
1100551;Hjarnø By, Hjarnø
1100651;Borchsminde, Hornum
1100652;Hornum By, Hornum
1100751;Klakring By, Klakring
1100851;Hornsyld By, Nebsager
1100852;Nebsager By, Nebsager
1100853;Skerrildgård Hgd., Nebsager
1100951;Glattrup By, Rårup
1100952;Gram By, Rårup
1100953;Gramrode By, Rårup
1100954;Ikær, Rårup
1100955;Klejs By, Rårup
1100956;Lindved By, Rårup
1100957;Lottrup Ladegård, Rårup
1100958;Møgelkær Hgd., Rårup
1100959;Nebel By, Rårup
1100960;Rårup By, Rårup
1100961;Ravnholt By, Rårup
1100962;Skævlund By, Rårup
1100963;Åstrup By, Rårup
1101051;Brund By, Skjold
1101052;Skjold By, Skjold
1101053;Stourup By, Skjold
1101054;V. Bisholt By, Skjold
1101251;Belle By, Stouby
1101252;Belle Ødegård, Stouby
1101253;Bobæk, Stouby
1101254;Gravengårde, Stouby
1101255;Grund By, Stouby
1101256;Hostrup By, Stouby
1101257;Hyrup By, Stouby
1101258;Ullerup, Stouby
1101259;Rohden, Stouby
